Estudo; Renda;UF;SEXO;Idade;Altura
6;R$ 2.800;MT;M;25;1,92
10;R$ 2.500;MS;M;22;1,92
1;R$ 1.000;SP;M;58;1,92
12;R$ 1.576;AL;M;33;1,92
15;R$ 1.090;PR;F;22;1,92
12;R$ 1.109;DF;M;47;1,92
1;R$ 600;AL;F;39;1,92
5;R$ 3.000;BA;M;65;1,92
12;R$ 788;RN;F;34;1,91
10;R$ 1.000;AP;M;56;1,91
5;R$ 1.700;MG;M;52;1,91
8;R$ 300;PR;M;59;1,91
11;R$ 1.000;PI;M;52;1,91
7;R$ 2.000;RJ;M;36;1,91
16;R$ 7.000;MG;F;36;1,91
6;R$ 1.200;RJ;M;36;1,91
1;R$ 1.000;AP;F;53;1,91
12;R$ 1.500;MG;M;29;1,91
11;R$ 1.200;SP;F;49;1,91
10;R$ 788;PE;M;35;1,91
10;R$ 2.100;PA;F;30;1,91
16;R$ 3.000;MG;M;45;1,91
1;R$ 1.350;MG;M;52;1,91
9;R$ 850;BA;M;35;1,91
8;R$ 2.300;CE;M;43;1,91
7;R$ 3.200;SP;M;52;1,91
16;R$ 8.000;AP;M;67;1,91
12;R$ 600;BA;F;46;1,91
2;R$ 400;TO;M;59;1,91
10;R$ 800;BA;F;34;1,91
8;R$ 350;AP;M;44;1,91
4;R$ 980;MS;M;63;1,91
16;R$ 1.000;RJ;F;59;1,91
12;R$ 788;PA;M;26;1,91
7;R$ 100;CE;F;51;1,91
16;R$ 2.000;AC;M;25;1,91
3;R$ 1.500;MS;M;69;1,91
5;R$ 500;MG;M;65;1,91
1;R$ 788;CE;M;65;1,91
1;R$ 350;BA;M;50;1,91
9;R$ 1.000;MS;M;66;1,91
12;R$ 1.500;PA;M;40;1,91
12;R$ 4.000;MA;M;54;1,91
9;R$ 2.780;RJ;M;43;1,91
16;R$ 1.500;SC;F;38;1,91
5;R$ 850;MS;M;47;1,91
6;R$ 900;MT;M;33;1,91
16;R$ 1.400;GO;F;35;1,91
9;R$ 1.400;BA;M;57;1,91
4;R$ 240;PB;M;25;1,91
16;R$ 5.000;PA;M;49;1,91
12;R$ 1.400;SP;M;49;1,91
12;R$ 1.000;BA;F;45;1,91
8;R$ 2.300;PR;F;42;1,91
9;R$ 1.500;RJ;M;40;1,91
1;R$ 1.500;SP;M;67;1,91
16;R$ 1.000;MG;F;59;1,91
5;R$ 500;TO;M;39;1,91
2;R$ 500;BA;M;49;1,91
6;R$ 928;CE;M;41;1,91
16;R$ 788;AL;F;30;1,91
6;R$ 800;RJ;M;64;1,91
2;R$ 200;PE;M;85;1,91
12;R$ 1.000;TO;M;56;1,91
13;R$ 2.000;BA;F;39;1,91
6;R$ 2.000;PR;M;42;1,91
8;R$ 700;ES;F;24;1,91
5;R$ 1.200;SC;M;44;1,91
11;R$ 1.800;PA;M;47;1,91
8;R$ 10.000;MA;M;41;1,91
12;R$ 5.000;MG;M;53;1,91
1;R$ 600;PA;M;35;1,91
8;R$ 360;RJ;M;43;1,91
12;R$ 2.500;SP;M;40;1,91
16;R$ 8.000;DF;M;29;1,91
5;R$ 1.800;SP;F;61;1,91
12;R$ 1.300;CE;M;32;1,91
5;R$ 1.200;ES;M;60;1,91
12;R$ 800;GO;F;48;1,91
16;R$ 8.000;PA;M;58;1,91
1;R$ 300;RR;M;57;1,91
4;R$ 970;AC;M;50;1,91
16;R$ 4.500;GO;M;64;1,91
16;R$ 8.000;SP;M;30;1,91
12;R$ 1.100;AP;M;45;1,91
9;R$ 1.900;SP;F;39;1,91
13;R$ 1.800;PA;M;24;1,91
7;R$ 4.000;PA;M;66;1,91
9;R$ 800;CE;F;31;1,91
6;R$ 2.364;PR;F;65;1,90
7;R$ 788;MS;M;60;1,90
13;R$ 14.000;SP;M;54;1,90
12;R$ 1.500;SC;M;47;1,90
16;R$ 1.075;SP;F;31;1,90
13;R$ 800;PE;M;36;1,90
10;R$ 2.200;RJ;M;41;1,90
12;R$ 1.000;SP;F;44;1,90
9;R$ 7.000;RN;M;44;1,90
1;R$ 240;SE;F;40;1,90
16;R$ 5.000;SP;M;47;1,90
12;R$ 788;MG;F;42;1,90
13;R$ 1.580;MG;M;41;1,90
1;R$ 900;PE;M;41;1,90
16;R$ 980;SP;F;32;1,90
9;R$ 788;PE;F;58;1,90
12;R$ 700;SP;F;36;1,90
8;R$ 788;RJ;F;48;1,90
5;R$ 3.000;AP;M;47;1,90
5;R$ 1.500;ES;M;41;1,90
9;R$ 400;PR;F;47;1,90
16;R$ 3.500;MG;M;43;1,90
1;R$ 1.200;PA;M;39;1,90
4;R$ 600;PR;F;51;1,90
12;R$ 800;CE;F;49;1,90
1;R$ 4.000;RJ;M;50;1,90
13;R$ 700;MG;F;49;1,90
9;R$ 2.800;SP;M;53;1,90
1;R$ 788;PE;M;55;1,90
13;R$ 1.200;SP;M;46;1,90
6;R$ 1.200;RS;F;56;1,90
15;R$ 5.500;RJ;M;44;1,90
12;R$ 1.000;SP;M;23;1,90
12;R$ 150;PI;F;25;1,90
7;R$ 1.200;AP;M;38;1,90
16;R$ 1.000;MG;F;48;1,90
6;R$ 1.400;RS;M;56;1,90
12;R$ 1.500;RN;M;32;1,90
9;R$ 400;RJ;F;64;1,90
16;R$ 2.000;DF;F;36;1,90
1;R$ 788;BA;M;39;1,90
6;R$ 1.000;ES;M;39;1,90
12;R$ 1.500;PE;F;40;1,90
12;R$ 1.350;RJ;F;40;1,90
16;R$ 950;RS;F;44;1,90
9;R$ 600;AP;F;45;1,90
5;R$ 150;CE;M;36;1,90
12;R$ 500;PR;F;45;1,90
1;R$ 1.500;AC;M;45;1,90
12;R$ 550;RJ;F;57;1,90
9;R$ 600;RJ;F;27;1,90
12;R$ 2.170;ES;M;64;1,90
9;R$ 1.100;SP;F;56;1,90
2;R$ 300;RN;M;33;1,90
9;R$ 1.600;MG;M;44;1,90
16;R$ 1.500;MT;M;38;1,90
16;R$ 5.000;SC;M;50;1,90
5;R$ 500;MT;M;52;1,90
16;R$ 2.500;BA;F;30;1,90
5;R$ 788;AP;M;35;1,90
7;R$ 2.000;RN;M;53;1,90
9;R$ 800;BA;M;60;1,90
15;R$ 3.000;RR;M;28;1,90
13;R$ 1.200;DF;F;25;1,90
1;R$ 2.000;BA;M;50;1,90
7;R$ 1.500;ES;M;27;1,90
7;R$ 1.800;RS;F;43;1,90
16;R$ 2.500;RS;M;46;1,90
12;R$ 5.000;GO;M;59;1,90
1;R$ 900;AC;M;59;1,90
6;R$ 4.000;RS;M;49;1,90
13;R$ 788;PB;F;32;1,90
16;R$ 4.000;SC;M;47;1,90
16;R$ 10.000;BA;M;65;1,90
11;R$ 900;PA;M;34;1,90
9;R$ 1.200;SP;F;22;1,90
12;R$ 2.300;BA;M;52;1,90
2;R$ 1.600;MG;M;74;1,90
2;R$ 1.500;PR;M;59;1,90
4;R$ 350;RJ;M;61;1,90
9;R$ 700;PA;M;43;1,90
11;R$ 800;SP;M;51;1,90
12;R$ 1.800;SP;M;45;1,90
12;R$ 1.200;PA;M;43;1,90
4;R$ 1.000;SP;M;47;1,90
11;R$ 5.000;PR;M;60;1,90
12;R$ 1.600;PR;M;35;1,90
16;R$ 2.500;CE;M;54;1,90
12;R$ 810;AP;M;20;1,90
12;R$ 875;RJ;F;28;1,90
12;R$ 950;PE;M;43;1,90
14;R$ 1.800;SP;M;50;1,90
5;R$ 788;MG;F;58;1,90
5;R$ 900;SP;F;47;1,90
