Stasiun,Tanggal,Tn,Tx,Tavg,RR,Hari_hujan,Besok_hujan
 Stasiun Klimatologi Bogor,26-03-2009,21.8,32.2,24.7,26.8,0,0
Stasiun Klimatologi Bogor,26-03-2009,21.8,32.2,24.7,26.8,0,0
Stasiun Meteorologi Cilacap,14-03-2010,25,32.5,28.1,26.6,1,1
Stasiun Meteorologi Cilacap,14-03-2010,25,32.5,28.1,26.6,1,1
Stasiun Meteorologi Maritim Tanjung Mas,23-03-2009,24.4,32.5,27.6,26.3,1,1
Stasiun Meteorologi Nangapinoh,16-03-2009,23.4,32.7,26.9,26.2,1,1
Stasiun Klimatologi Bogor,02-02-2009,22.1,26.4,23.7,26,0,0
Stasiun Meteorologi Maritim Tanjung Mas,07-02-2010,24.4,30.4,27.7,26,1,1
Stasiun Meteorologi Nangapinoh,27-02-2009,22.8,32.8,26.6,25.7,1,1
Stasiun Klimatologi Mempawah,29-03-2009,22.2,31.4,26.1,25.5,1,1
Stasiun Meteorologi Cilacap,12-01-2010,25,31.4,27.5,25.4,1,1
Stasiun Klimatologi Bogor,03-03-2010,22,33.4,26.9,24.9,1,1
Stasiun Meteorologi Cilacap,23-03-2010,24.5,32.6,28.7,24.7,1,1
Stasiun Meteorologi Nangapinoh,03-02-2009,23.3,30,25.4,24.6,1,1
Stasiun Meteorologi Nangapinoh,03-02-2009,23.3,30,25.4,24.6,1,1
Stasiun Meteorologi Cilacap,19-02-2010,25.6,27.4,26.1,24.2,0,0
Stasiun Meteorologi Cilacap,02-01-2010,24.8,32,27.9,24.2,1,1
Stasiun Meteorologi Maritim Tanjung Mas,05-02-2010,25.2,31,28.3,23.1,0,0
Stasiun Klimatologi Bogor,20-02-2010,22.4,34.2,25.7,23.1,1,1
Stasiun Meteorologi Nangapinoh,21-03-2010,20.8,33.1,27.1,23.1,1,1
Stasiun Meteorologi Nangapinoh,30-01-2009,22.8,30.5,24.5,23,0,0
 Stasiun Meteorologi Nangapinoh,01-03-2010,23.6,32.2,27.2,23,1,1
 Stasiun Klimatologi Bogor,28-03-2009,23,31.7,26.1,23,1,1
Stasiun Klimatologi Bogor,28-03-2009,23,31.7,26.1,23,1,1
Stasiun Klimatologi Mempawah,18-03-2009,23,31,26.4,22.7,1,1
Stasiun Meteorologi Nangapinoh,25-01-2009,22.8,29.1,25.8,21.6,0,0
Stasiun Klimatologi Bogor,18-01-2010,22.6,31.1,26.1,21.6,1,1
Stasiun Klimatologi Bogor,11-03-2009,20.8,31.9,24.6,21.3,0,0
Stasiun Meteorologi Nangapinoh,15-01-2010,22.4,30,24.2,21.1,0,0
Stasiun Meteorologi Nangapinoh,10-03-2009,22.8,32.2,25.7,21,1,1
Stasiun Klimatologi Bogor,25-01-2009,22.2,30.8,25.1,20.4,1,1
Stasiun Meteorologi Maritim Tanjung Mas,18-01-2010,25,30.2,27.6,20.4,1,1
Stasiun Meteorologi Cilacap,23-01-2010,24.4,32,27.9,20.4,1,1
Stasiun Meteorologi Cilacap,23-01-2010,24.4,32,27.9,20.4,1,1
Stasiun Klimatologi Mempawah,19-03-2010,24,31.9,27.1,20.4,1,1
Stasiun Meteorologi Cilacap,29-01-2010,24.8,31.4,28.2,20.2,1,1
Stasiun Meteorologi Cilacap,29-01-2010,24.8,31.4,28.2,20.2,1,1
Stasiun Meteorologi Cilacap,28-03-2010,24.4,32.4,28.3,20.2,1,1
Stasiun Meteorologi Nangapinoh,18-03-2009,22.5,32.4,26.3,20.2,1,1
Stasiun Klimatologi Bogor,06-02-2009,21.6,31,23.7,20.1,0,0
Stasiun Meteorologi Maritim Tanjung Mas,06-02-2009,25.2,28.5,26.5,20,0,0
Stasiun Klimatologi Bogor,10-03-2009,21.6,31,24.8,20,0,0
Stasiun Meteorologi Maritim Tanjung Mas,03-02-2009,23.6,29,25.9,19.8,0,0
Stasiun Meteorologi Nangapinoh,16-03-2010,22.2,32.8,26.9,19.8,1,1
Stasiun Klimatologi Bogor,09-01-2009,22.1,27.4,24.7,19.7,0,0
Stasiun Klimatologi Bogor,03-02-2009,21.6,26.8,23.9,19.5,0,0
Stasiun Meteorologi Cilacap,22-03-2009,23.9,31.3,27.2,19.4,1,1
Stasiun Meteorologi Maritim Tanjung Mas,26-02-2009,25,30.2,27,19.2,1,1
Stasiun Meteorologi Nangapinoh,07-03-2009,23,30.1,26.1,19.2,1,1
Stasiun Klimatologi Mempawah,03-02-2009,23.4,29.1,25.7,19,1,1
Stasiun Klimatologi Mempawah,27-01-2010,23.8,30.7,26.7,19,1,1
Stasiun Klimatologi Mempawah,03-02-2009,23.4,29.1,25.7,19,1,1
 Stasiun Meteorologi Nangapinoh,12-03-2010,22.4,29.3,25.4,19,1,1
