sortimento;reposição;layout;conforto;limpeza;atendimento;preço;desconto
5,808351517;4,74506712;5,971636295;6,171682835;5,808011055;1,312593102;4,632666111;6,43854332
5,680140495;4,835522175;5,62475872;6,294092655;5,660119534;2,192044258;4,115302086;5,916073322
6,069700241;4,707407475;6,531992912;6,356098652;6,219820976;2,192044258;4,630997658;6,046742916
5,555604935;4,567198753;5,644010544;6,055681229;5,646747112;1,019442797;4,294297218;6,041239738
5,635521889;4,526319504;5,844723701;6,349357605;5,979887962;0,286566854;4,59323597;5,822543621
5,942750931;4,646891117;6,338610649;5,989071846;5,164170742;0,579717159;4,397885799;5,801515102
6,491656303;4,982523441;7,100788593;7,128236294;6,237290382;1,898893952;5,084928036;7,047934532
6,46366024;4,866403103;7,160917759;6,388233185;6,030332565;3,950946569;4,383138657;5,639757156
5,777888298;4,587166309;6,068610668;6,011725426;5,525445461;1,166018009;4,112882614;5,836824417
5,959012032;4,917821884;6,10020256;6,127181053;6,001764774;1,605743527;4,085692883;6,041884422
5,591446877;4,689216137;5,593677998;6,055244446;5,061730862;2,631769896;4,25854063;5,976896286
6,290845394;4,70114994;6,980540752;6,194892406;5,684510708;0,872867584;4,381548405;5,893265724
5,714410782;4,569971085;5,958849907;5,966823578;5,814641476;0,286566854;4,587903023;6,25298214
6,049535751;4,755175114;6,44389677;6,165210724;5,775948524;3,071495533;4,353560448;5,383581638
6,053595066;4,529067039;6,678122997;6,035041809;5,679151058;0,286566854;4,321755409;5,483213902
5,95520401;4,891192436;6,119215488;6,983175278;6,43621397;0,726292372;4,285610676;5,752179623
6,234583855;4,70196104;6,867206097;6,093593121;5,237345695;0,872867584;4,559761524;5,853384018
5,47377491;4,499544621;5,548004627;5,907066822;5,447435379;1,605743527;4,478705883;5,980226517
6,139220238;4,61731863;6,761122227;6,016926765;5,950042725;1,898893952;4,459823608;5,717438221
5,753201008;4,6858325;5,92056942;7,024991035;6,885890961;0,579717159;4,462150097;6,077348709
5,449314117;4,496686935;5,501941681;5,892071724;5,55530405;0,726292372;4,240594387;5,585460186
5,717521667;4,547661304;5,987381458;6,121238232;5,21675396;0,433141947;4,363229752;6,140038013
6,070667267;4,790019035;6,45131588;6,205547333;5,751265049;0,579717159;4,357308388;5,751117706
5,996340752;4,535942078;6,556738853;5,906429768;5,632081509;1,312593102;4,423923492;5,758723736
5,295783043;4,679013729;5,012551785;6,038201809;5,81523037;1,75231874;3,82299614;5,143164635
6,378413677;4,586219788;7,270607471;6,677876949;6,204589844;3,071495533;5,501531601;6,928168297
6,621549606;4,990510464;7,352588177;6,712647438;6,025998116;3,218070507;4,940233231;6,756059647
5,718361855;4,580232143;5,95649147;5,956894875;5,116075039;0,579717159;4,119786263;5,553442955
5,348046303;4,565934658;5,230157375;5,956627846;5,498198032;1,312593102;3,977098227;5,722966194
5,707121849;4,530321598;5,983922005;6,225235939;5,23399353;0,286566854;4,164685249;5,592913628
5,731843472;4,674812317;5,888874531;5,939272404;5,246508598;0,579717159;3,897954941;4,904218674
5,705875874;4,569515228;5,942236423;6,00792408;5,505160332;1,75231874;4,390198708;5,574194431
5,259900093;4,716311932;4,903488636;6,029769897;5,926895618;0,726292372;3,540949583;4,795085907
6,217472076;4,684140682;6,850803375;6,070743561;5,428335667;0,579717159;4,522455215;5,716593266
6,344619751;5,075984478;6,713255405;6,619535923;6,144317627;1,166018009;4,479756355;5,993102551
5,839366913;4,741220474;6,037512779;6,544142723;6,172223568;3,511220932;4,300342083;5,674175739
5,338561058;4,499672413;5,277449608;6,159380436;5,763933182;1,459168315;4,036149979;5,266501904
6,055604458;4,564932823;6,646275997;6,325226784;5,899444103;2,778345108;5,083180428;6,681111336
5,825675011;4,545262814;6,206087589;5,992720127;5,424073219;0,726292372;4,501512051;6,412444592
5,553822517;4,549884796;5,657760143;6,267834663;6,252241611;0,726292372;4,520602703;6,425983429
6,068429947;4,846021652;6,390837669;5,945779324;5,900228977;1,459168315;4,303882599;5,711123466
6,21246624;4,614670753;6,910261631;6,1527071;6,068900108;0,433141947;4,487024784;5,94301796
5,615419865;4,835662365;5,495177269;6,108377457;6,072431087;0,872867584;4,038023949;5,658608913
6,04542923;4,799416542;6,391441822;7,003203392;6,223078728;2,338619471;4,687401295;6,445707321
6,262861252;4,927052498;6,69866991;6,212774754;5,543465614;3,657796144;4,507002354;5,870995998
6,175223351;4,751861572;6,698585033;6,203183174;5,798408508;1,75231874;4,607352257;6,123184204
5,780780792;4,600112438;6,061448574;6,070013046;5,170739174;1,166018009;4,447775841;6,052277565
6,268946648;4,816998959;6,820894718;6,248924255;5,904643059;1,019442797;4,581859589;6,220340729
6,04052639;5,065130711;6,115921497;6,547883987;5,562703133;0,726292372;4,076512814;5,304543972
6,286915779;4,917146206;6,756685734;6,064677238;5,444236279;1,898893952;4,349167824;6,129423618
5,419394493;4,800976753;5,137812138;6,228135109;5,328288078;0,579717159;3,686911106;5,208024979
6,091048241;4,756438732;6,525657177;6,238399982;5,269131184;0,872867584;4,022432804;5,365591049
5,886405945;4,535605431;6,337205887;5,965550423;5,795553684;1,019442797;4,313849926;5,649352074
5,657839775;4,771773815;5,643905163;5,970609665;5,053557396;0,286566854;3,712617874;5,041332245
5,998851776;4,634092808;6,463610172;6,299473286;6,213161469;1,605743527;4,645380497;6,057234764
5,197579384;4,529828548;4,965329647;6,060665607;5,628990173;0,433141947;4,145301819;6,050690174
5,480238914;4,539038181;5,521439552;5,94727087;5,118842602;1,166018009;3,987725973;5,369599819
