TEMPO_ESTUDO;RENDA;UF;GENERO;IDADE;ALTURA;faixa idade;Região
11;3900;RJ;M;26;1,34;Jovem adulto;Sudeste
1;600;RR;M;78;1,37;idoso;Norte
12;1500;PA;F;35;1,38;Jovem adulto;Norte
17;200;BA;M;60;1,39;adulto;Nordeste
12;2100;RS;M;49;1,40;adulto;Sul
12;2200;CE;M;35;1,40;Jovem adulto;Nordeste
5;2600;RS;M;54;1,40;adulto;Sul
5;1500;PR;M;27;1,40;Jovem adulto;Sul
1;320;MA;M;34;1,40;Jovem adulto;Nordeste
16;788;GO;F;36;1,41;Jovem adulto;Centro-Oeste
9;400;PE;F;34;1,41;Jovem adulto;Nordeste
16;1001;PI;F;59;1,41;adulto;Nordeste
5;1000;MG;M;41;1,41;Jovem adulto;Sudeste
15;9000;SP;M;51;1,41;adulto;Sudeste
9;4000;CE;M;58;1,41;adulto;Nordeste
1;2000;RJ;M;43;1,41;Jovem adulto;Sudeste
12;3000;PA;M;56;1,42;adulto;Norte
8;200;PA;F;25;1,42;Jovem adulto;Norte
16;7880;PE;F;41;1,42;Jovem adulto;Nordeste
1;1400;MG;M;64;1,42;adulto;Sudeste
12;1200;RO;F;39;1,42;Jovem adulto;Norte
11;864;BA;M;22;1,42;Jovem adulto;Nordeste
16;3000;CE;F;44;1,42;Jovem adulto;Nordeste
6;780;AC;M;20;1,42;Jovem adulto;Norte
9;500;AP;M;51;1,42;adulto;Norte
16;5000;MG;M;33;1,42;Jovem adulto;Sudeste
6;1000;RJ;F;54;1,43;adulto;Sudeste
12;788;PB;M;35;1,43;Jovem adulto;Nordeste
3;1500;SP;M;49;1,43;adulto;Sudeste
13;1300;RJ;F;32;1,43;Jovem adulto;Sudeste
3;3000;PA;M;60;1,43;adulto;Norte
6;788;RS;M;32;1,43;Jovem adulto;Sul
12;2500;DF;M;32;1,43;Jovem adulto;Centro-Oeste
3;4000;RS;M;58;1,43;adulto;Sul
12;7000;AL;M;40;1,43;Jovem adulto;Nordeste
6;1500;RS;M;38;1,43;Jovem adulto;Sul
9;4000;RS;M;51;1,43;adulto;Sul
12;1200;RJ;M;64;1,43;adulto;Sudeste
12;1800;RJ;M;44;1,43;Jovem adulto;Sudeste
8;3000;SP;M;52;1,43;adulto;Sudeste
5;300;PB;F;40;1,43;Jovem adulto;Nordeste
12;1600;SP;F;29;1,43;Jovem adulto;Sudeste
8;788;GO;F;30;1,43;Jovem adulto;Centro-Oeste
9;1000;RJ;F;56;1,44;adulto;Sudeste
2;1350;BA;M;35;1,44;Jovem adulto;Nordeste
3;100;SP;F;69;1,44;idoso;Sudeste
9;1200;PR;F;63;1,44;adulto;Sul
8;1500;ES;M;63;1,44;adulto;Sudeste
12;800;SP;F;31;1,44;Jovem adulto;Sudeste
12;3000;DF;F;71;1,44;idoso;Centro-Oeste
12;2000;SP;M;43;1,44;Jovem adulto;Sudeste
12;1600;SP;M;22;1,44;Jovem adulto;Sudeste
9;788;PB;M;28;1,44;Jovem adulto;Nordeste
16;1500;MT;F;36;1,44;Jovem adulto;Centro-Oeste
1;300;SP;M;67;1,44;idoso;Sudeste
5;1400;SP;M;43;1,44;Jovem adulto;Sudeste
16;6000;MS;M;34;1,44;Jovem adulto;Centro-Oeste
6;788;MG;F;47;1,44;adulto;Sudeste
16;10000;PE;M;60;1,44;adulto;Nordeste
12;3000;PE;M;41;1,44;Jovem adulto;Nordeste
9;1250;SP;M;36;1,44;Jovem adulto;Sudeste
16;4600;PR;F;52;1,45;adulto;Sul
5;1100;SP;M;57;1,45;adulto;Sudeste
16;1800;DF;F;43;1,45;Jovem adulto;Centro-Oeste
16;800;PE;F;51;1,45;adulto;Nordeste
12;1500;ES;M;50;1,45;adulto;Sudeste
16;10000;MG;M;33;1,45;Jovem adulto;Sudeste
12;5000;PR;M;38;1,45;Jovem adulto;Sul
12;800;RJ;M;28;1,45;Jovem adulto;Sudeste
6;400;RJ;F;38;1,45;Jovem adulto;Sudeste
5;800;MG;M;57;1,45;adulto;Sudeste
12;900;RJ;M;33;1,45;Jovem adulto;Sudeste
13;1000;RN;M;48;1,45;adulto;Nordeste
7;400;RO;F;45;1,45;adulto;Norte
12;1900;RS;F;29;1,45;Jovem adulto;Sul
16;15000;PE;F;54;1,45;adulto;Nordeste
7;1500;SP;M;55;1,45;adulto;Sudeste
9;1300;PR;M;30;1,45;Jovem adulto;Sul
1;30;BA;M;52;1,45;adulto;Nordeste
6;1200;MG;F;55;1,45;adulto;Sudeste
12;1000;RO;F;49;1,45;adulto;Norte
12;1080;RJ;F;45;1,45;adulto;Sudeste
12;4000;DF;M;34;1,45;Jovem adulto;Centro-Oeste
17;800;AP;F;48;1,45;adulto;Norte
12;900;SP;M;30;1,45;Jovem adulto;Sudeste
5;788;PE;M;50;1,45;adulto;Nordeste
12;3700;AC;M;35;1,45;Jovem adulto;Norte
6;788;PA;F;37;1,46;Jovem adulto;Norte
1;20;PI;M;69;1,46;idoso;Nordeste
16;2600;BA;M;32;1,46;Jovem adulto;Nordeste
14;2400;RS;M;63;1,46;adulto;Sul
12;900;AP;M;29;1,46;Jovem adulto;Norte
13;900;PE;M;40;1,46;Jovem adulto;Nordeste
16;1500;DF;M;30;1,46;Jovem adulto;Centro-Oeste
7;50;BA;F;54;1,46;adulto;Nordeste
6;1600;SP;M;45;1,46;adulto;Sudeste
5;2000;GO;M;56;1,46;adulto;Centro-Oeste
6;1200;DF;F;46;1,46;adulto;Centro-Oeste
9;2300;RJ;M;56;1,46;adulto;Sudeste
8;1600;RS;M;45;1,46;adulto;Sul
12;3300;AP;M;53;1,46;adulto;Norte
9;788;RJ;F;39;1,46;Jovem adulto;Sudeste
5;200;ES;M;43;1,46;Jovem adulto;Sudeste
9;2300;MT;M;30;1,46;Jovem adulto;Centro-Oeste
16;3100;GO;F;43;1,46;Jovem adulto;Centro-Oeste
16;1500;AP;F;34;1,46;Jovem adulto;Norte
12;1500;CE;M;45;1,46;adulto;Nordeste
4;3450;RO;M;36;1,46;Jovem adulto;Norte
12;1200;PA;M;27;1,46;Jovem adulto;Norte
2;788;PB;M;76;1,46;idoso;Nordeste
11;1080;BA;M;37;1,46;Jovem adulto;Nordeste
9;2000;RS;M;39;1,46;Jovem adulto;Sul
6;7000;RS;M;65;1,46;idoso;Sul
9;6000;PR;F;46;1,46;adulto;Sul
1;400;BA;F;50;1,46;adulto;Nordeste
12;850;CE;F;49;1,46;adulto;Nordeste
9;1200;SP;F;38;1,46;Jovem adulto;Sudeste
8;788;PE;M;50;1,46;adulto;Nordeste
9;1800;BA;M;19;1,46;Jovem adulto;Nordeste
14;3000;DF;M;49;1,46;adulto;Centro-Oeste
6;150;PR;F;50;1,46;adulto;Sul
16;3000;SP;F;36;1,46;Jovem adulto;Sudeste
3;2700;MT;M;52;1,46;adulto;Centro-Oeste
9;900;MT;F;37;1,46;Jovem adulto;Centro-Oeste
16;1576;RS;M;28;1,46;Jovem adulto;Sul
9;850;PI;M;35;1,46;Jovem adulto;Nordeste
12;1600;PE;F;44;1,46;Jovem adulto;Nordeste
6;1000;RS;M;65;1,47;idoso;Sul
6;200;SE;M;22;1,47;Jovem adulto;Nordeste
6;2400;PR;M;47;1,47;adulto;Sul
16;10000;RJ;M;40;1,47;Jovem adulto;Sudeste
9;800;BA;M;27;1,47;Jovem adulto;Nordeste
5;400;GO;M;59;1,47;adulto;Centro-Oeste
5;800;MG;F;56;1,47;adulto;Sudeste
16;3000;MT;F;28;1,47;Jovem adulto;Centro-Oeste
12;2000;AP;M;37;1,47;Jovem adulto;Norte
16;4900;MG;M;49;1,47;adulto;Sudeste
16;16000;SP;M;44;1,47;Jovem adulto;Sudeste
8;1161;RS;M;62;1,47;adulto;Sul
12;1800;PE;M;54;1,47;adulto;Nordeste
12;6000;PA;M;33;1,47;Jovem adulto;Norte
16;10000;GO;M;42;1,47;Jovem adulto;Centro-Oeste
8;4000;MG;F;43;1,47;Jovem adulto;Sudeste
8;900;PE;M;50;1,47;adulto;Nordeste
7;788;BA;M;49;1,47;adulto;Nordeste
13;1100;PR;F;50;1,47;adulto;Sul
15;1900;SP;M;27;1,47;Jovem adulto;Sudeste
13;1500;RJ;F;32;1,47;Jovem adulto;Sudeste
12;200;CE;F;35;1,47;Jovem adulto;Nordeste
7;1500;TO;M;40;1,47;Jovem adulto;Norte
3;1500;SP;M;61;1,47;adulto;Sudeste
8;1500;GO;M;33;1,47;Jovem adulto;Centro-Oeste
3;988;CE;M;30;1,47;Jovem adulto;Nordeste
12;25000;MS;F;55;1,47;adulto;Centro-Oeste
12;1200;RO;M;38;1,47;Jovem adulto;Norte
7;1800;SP;M;27;1,47;Jovem adulto;Sudeste
1;480;BA;M;69;1,47;idoso;Nordeste
1;1000;BA;M;63;1,47;adulto;Nordeste
16;1900;AC;F;40;1,47;Jovem adulto;Norte
10;788;BA;F;37;1,47;Jovem adulto;Nordeste
12;30000;GO;M;37;1,47;Jovem adulto;Centro-Oeste
7;788;AP;F;45;1,47;adulto;Norte
5;1600;SP;F;27;1,47;Jovem adulto;Sudeste
7;1800;MG;M;28;1,47;Jovem adulto;Sudeste
9;800;CE;F;30;1,47;Jovem adulto;Nordeste
16;2600;CE;M;49;1,47;adulto;Nordeste
12;3500;MG;F;35;1,47;Jovem adulto;Sudeste
12;1500;TO;M;59;1,47;adulto;Norte
16;12000;MS;M;66;1,47;idoso;Centro-Oeste
4;400;BA;F;28;1,47;Jovem adulto;Nordeste
6;828;PE;M;43;1,47;Jovem adulto;Nordeste
12;1200;DF;F;36;1,47;Jovem adulto;Centro-Oeste
16;3000;MS;M;32;1,47;Jovem adulto;Centro-Oeste
1;1200;AL;M;60;1,47;adulto;Nordeste
9;1045;CE;M;44;1,47;Jovem adulto;Nordeste
9;1000;PR;M;39;1,47;Jovem adulto;Sul
5;850;PB;F;53;1,47;adulto;Nordeste
12;2000;SP;M;43;1,47;Jovem adulto;Sudeste
12;1000;RJ;M;38;1,47;Jovem adulto;Sudeste
12;3000;ES;M;57;1,47;adulto;Sudeste
12;500;DF;F;57;1,47;adulto;Centro-Oeste
3;250;RR;F;44;1,47;Jovem adulto;Norte
1;788;PE;M;63;1,47;adulto;Nordeste
15;2400;MG;M;47;1,47;adulto;Sudeste
9;1900;PR;F;50;1,48;adulto;Sul
6;788;MG;M;18;1,48;Jovem adulto;Sudeste
10;800;PE;M;27;1,48;Jovem adulto;Nordeste
7;1400;SE;F;53;1,48;adulto;Nordeste
1;788;AP;F;39;1,48;Jovem adulto;Norte
9;70;AP;M;42;1,48;Jovem adulto;Norte
1;300;AC;M;72;1,48;idoso;Norte
11;788;MG;F;42;1,48;Jovem adulto;Sudeste
1;1250;BA;F;37;1,48;Jovem adulto;Nordeste
16;6000;AC;F;48;1,48;adulto;Norte
5;1324;MG;M;57;1,48;adulto;Sudeste
8;1600;RS;M;45;1,48;adulto;Sul
7;788;PA;F;60;1,48;adulto;Norte
16;2500;SP;M;43;1,48;Jovem adulto;Sudeste
15;900;ES;F;55;1,48;adulto;Sudeste
5;800;MG;M;62;1,48;adulto;Sudeste
12;1500;GO;M;27;1,48;Jovem adulto;Centro-Oeste
4;60;PA;M;65;1,48;idoso;Norte
2;900;MG;M;41;1,48;Jovem adulto;Sudeste
8;1200;TO;M;38;1,48;Jovem adulto;Norte
12;1200;PR;F;48;1,48;adulto;Sul
9;1000;SP;M;40;1,48;Jovem adulto;Sudeste
2;150;MG;M;63;1,48;adulto;Sudeste
15;7500;PR;M;26;1,48;Jovem adulto;Sul
5;788;MA;M;67;1,48;idoso;Nordeste
7;1000;TO;M;55;1,48;adulto;Norte
12;2000;PR;M;33;1,48;Jovem adulto;Sul
2;1000;PA;M;52;1,48;adulto;Norte
5;700;PE;F;64;1,48;adulto;Nordeste
7;40;MA;F;44;1,48;Jovem adulto;Nordeste
12;5000;SP;M;31;1,48;Jovem adulto;Sudeste
13;3500;RJ;M;62;1,48;adulto;Sudeste
12;1500;MS;M;37;1,48;Jovem adulto;Centro-Oeste
12;1500;BA;M;34;1,48;Jovem adulto;Nordeste
3;3500;RS;M;82;1,48;idoso;Sul
10;400;PI;F;46;1,48;adulto;Nordeste
9;650;PA;M;55;1,48;adulto;Norte
6;788;BA;M;37;1,48;Jovem adulto;Nordeste
9;550;MG;F;29;1,48;Jovem adulto;Sudeste
5;300;BA;M;52;1,48;adulto;Nordeste
7;1200;MG;M;22;1,48;Jovem adulto;Sudeste
9;800;PA;F;34;1,48;Jovem adulto;Norte
12;600;MT;M;46;1,48;adulto;Centro-Oeste
9;2000;PR;M;65;1,48;idoso;Sul
1;700;AC;M;54;1,48;adulto;Norte
12;1600;SP;F;44;1,48;Jovem adulto;Sudeste
6;1000;PE;M;27;1,48;Jovem adulto;Nordeste
12;2000;RJ;M;30;1,48;Jovem adulto;Sudeste
9;500;SP;F;57;1,48;adulto;Sudeste
4;2000;MT;M;50;1,48;adulto;Centro-Oeste
11;1600;RO;M;28;1,48;Jovem adulto;Norte
16;1600;CE;M;65;1,48;idoso;Nordeste
12;900;AP;F;21;1,48;Jovem adulto;Norte
1;90;MA;M;41;1,48;Jovem adulto;Nordeste
9;320;CE;M;23;1,48;Jovem adulto;Nordeste
16;1600;RJ;M;39;1,48;Jovem adulto;Sudeste
3;788;SE;M;38;1,48;Jovem adulto;Nordeste
9;788;MG;M;37;1,48;Jovem adulto;Sudeste
6;800;PA;M;42;1,48;Jovem adulto;Norte
12;700;PA;M;38;1,48;Jovem adulto;Norte
16;2500;PR;F;30;1,48;Jovem adulto;Sul
9;400;RJ;F;55;1,48;adulto;Sudeste
12;1500;SP;M;30;1,48;Jovem adulto;Sudeste
9;800;RO;M;40;1,48;Jovem adulto;Norte
5;788;MG;F;45;1,48;adulto;Sudeste
14;1800;MG;M;27;1,48;Jovem adulto;Sudeste
12;1100;PA;M;26;1,48;Jovem adulto;Norte
16;8000;RJ;F;52;1,48;adulto;Sudeste
12;8000;RJ;M;56;1,48;adulto;Sudeste
16;2800;PA;M;49;1,48;adulto;Norte
12;4000;PE;M;53;1,48;adulto;Nordeste
2;1000;PI;M;50;1,48;adulto;Nordeste
16;1500;GO;F;51;1,48;adulto;Centro-Oeste
14;1088;TO;F;23;1,48;Jovem adulto;Norte
5;4000;RS;M;42;1,48;Jovem adulto;Sul
12;800;BA;M;36;1,48;Jovem adulto;Nordeste
13;7500;RJ;M;65;1,48;idoso;Sudeste
12;1500;RR;F;22;1,49;Jovem adulto;Norte
12;788;DF;F;43;1,49;Jovem adulto;Centro-Oeste
16;4000;MA;M;53;1,49;adulto;Nordeste
11;1550;MG;M;32;1,49;Jovem adulto;Sudeste
6;300;PR;M;41;1,49;Jovem adulto;Sul
16;3000;CE;M;45;1,49;adulto;Nordeste
2;850;AP;M;47;1,49;adulto;Norte
1;1300;BA;M;65;1,49;idoso;Nordeste
5;1576;PA;M;65;1,49;idoso;Norte
12;300;BA;F;50;1,49;adulto;Nordeste
5;1000;SP;F;53;1,49;adulto;Sudeste
4;2300;MG;F;41;1,49;Jovem adulto;Sudeste
11;350;PR;F;47;1,49;adulto;Sul
10;2800;PE;M;32;1,49;Jovem adulto;Nordeste
6;1400;PR;M;23;1,49;Jovem adulto;Sul
1;2800;MG;M;87;1,49;idoso;Sudeste
1;400;PA;M;54;1,49;adulto;Norte
12;3000;MG;M;42;1,49;Jovem adulto;Sudeste
2;1200;AP;M;54;1,49;adulto;Norte
16;2000;MG;M;59;1,49;adulto;Sudeste
16;1200;PE;M;41;1,49;Jovem adulto;Nordeste
5;2300;MT;M;46;1,49;adulto;Centro-Oeste
9;500;TO;F;21;1,49;Jovem adulto;Norte
12;1576;MG;M;47;1,49;adulto;Sudeste
16;12000;MT;M;48;1,49;adulto;Centro-Oeste
9;1000;MG;M;33;1,49;Jovem adulto;Sudeste
9;2400;RJ;M;41;1,49;Jovem adulto;Sudeste
7;400;BA;F;31;1,49;Jovem adulto;Nordeste
16;35000;DF;M;29;1,49;Jovem adulto;Centro-Oeste
1;100;BA;M;29;1,49;Jovem adulto;Nordeste
8;1100;PE;M;30;1,49;Jovem adulto;Nordeste
12;2800;AP;F;42;1,49;Jovem adulto;Norte
16;1576;RN;M;43;1,49;Jovem adulto;Nordeste
12;5000;PR;M;60;1,49;adulto;Sul
9;400;RO;F;59;1,49;adulto;Norte
1;1500;GO;M;61;1,49;adulto;Centro-Oeste
12;1050;PE;M;38;1,49;Jovem adulto;Nordeste
8;1700;RS;M;36;1,49;Jovem adulto;Sul
12;1000;SP;M;57;1,49;adulto;Sudeste
9;300;MA;F;44;1,49;Jovem adulto;Nordeste
12;1576;PE;M;49;1,49;adulto;Nordeste
4;1800;AC;M;71;1,49;idoso;Norte
16;6000;AL;M;54;1,49;adulto;Nordeste
9;400;RJ;F;22;1,49;Jovem adulto;Sudeste
12;840;MG;F;43;1,49;Jovem adulto;Sudeste
4;1200;SP;F;63;1,49;adulto;Sudeste
16;2800;CE;F;44;1,49;Jovem adulto;Nordeste
12;1800;SP;M;23;1,49;Jovem adulto;Sudeste
12;2000;DF;F;47;1,49;adulto;Centro-Oeste
5;1200;SP;M;63;1,49;adulto;Sudeste
9;300;AC;F;43;1,49;Jovem adulto;Norte
9;1500;AC;M;30;1,49;Jovem adulto;Norte
16;2800;SP;F;35;1,49;Jovem adulto;Sudeste
12;2200;RS;F;34;1,49;Jovem adulto;Sul
9;6000;MG;M;51;1,49;adulto;Sudeste
13;1200;SP;F;47;1,49;adulto;Sudeste
16;1800;PE;F;54;1,49;adulto;Nordeste
3;350;PA;F;59;1,49;adulto;Norte
5;2000;BA;M;41;1,49;Jovem adulto;Nordeste
5;2500;RS;M;75;1,49;idoso;Sul
13;788;SP;F;50;1,49;adulto;Sudeste
12;650;PA;F;31;1,49;Jovem adulto;Norte
9;788;RJ;F;57;1,49;adulto;Sudeste
16;1200;RJ;F;49;1,49;adulto;Sudeste
12;1300;PE;M;32;1,49;Jovem adulto;Nordeste
1;1600;MG;M;41;1,49;Jovem adulto;Sudeste
12;960;RJ;F;36;1,49;Jovem adulto;Sudeste
12;400;BA;F;34;1,49;Jovem adulto;Nordeste
5;600;PE;F;60;1,49;adulto;Nordeste
9;450;RJ;M;37;1,49;Jovem adulto;Sudeste
5;1200;SE;M;26;1,49;Jovem adulto;Nordeste
12;1000;MG;M;61;1,49;adulto;Sudeste
12;1600;RO;M;28;1,49;Jovem adulto;Norte
12;250;BA;F;43;1,49;Jovem adulto;Nordeste
12;788;TO;F;42;1,49;Jovem adulto;Norte
12;3500;RS;M;33;1,49;Jovem adulto;Sul
6;200;RO;M;56;1,49;adulto;Norte
9;3000;MT;M;39;1,49;Jovem adulto;Centro-Oeste
1;200;PE;M;45;1,49;adulto;Nordeste
1;150;MG;M;55;1,49;adulto;Sudeste
14;900;AP;F;26;1,49;Jovem adulto;Norte
16;3500;PR;M;34;1,49;Jovem adulto;Sul
16;3500;RS;M;33;1,49;Jovem adulto;Sul
16;3500;AP;F;51;1,49;adulto;Norte
3;320;BA;M;57;1,49;adulto;Nordeste
12;3000;PA;M;63;1,49;adulto;Norte
12;1500;RJ;M;55;1,49;adulto;Sudeste
8;1200;RJ;M;47;1,49;adulto;Sudeste
11;750;MT;F;38;1,49;Jovem adulto;Centro-Oeste
1;50;BA;M;71;1,49;idoso;Nordeste
9;1400;RS;M;22;1,49;Jovem adulto;Sul
16;8000;RS;F;48;1,49;adulto;Sul
17;1100;ES;F;37;1,49;Jovem adulto;Sudeste
9;720;PA;M;31;1,49;Jovem adulto;Norte
12;788;PB;F;45;1,49;adulto;Nordeste
4;1000;DF;M;60;1,49;adulto;Centro-Oeste
12;500;MG;M;34;1,49;Jovem adulto;Sudeste
9;1800;GO;M;51;1,49;adulto;Centro-Oeste
12;5000;SC;M;35;1,49;Jovem adulto;Sul
9;320;PR;F;37;1,49;Jovem adulto;Sul
12;1800;AP;M;42;1,49;Jovem adulto;Norte
1;150;MS;F;29;1,49;Jovem adulto;Centro-Oeste
16;3500;SP;M;31;1,49;Jovem adulto;Sudeste
6;3000;MG;M;43;1,49;Jovem adulto;Sudeste
12;240;BA;F;32;1,50;Jovem adulto;Nordeste
6;2500;RJ;M;59;1,50;adulto;Sudeste
10;788;PB;M;36;1,50;Jovem adulto;Nordeste
1;450;SP;F;60;1,50;adulto;Sudeste
12;4000;MG;M;37;1,50;Jovem adulto;Sudeste
12;2300;PE;M;28;1,50;Jovem adulto;Nordeste
12;900;CE;M;32;1,50;Jovem adulto;Nordeste
8;1500;RJ;M;46;1,50;adulto;Sudeste
12;788;SP;F;44;1,50;Jovem adulto;Sudeste
13;1387;BA;M;40;1,50;Jovem adulto;Nordeste
5;788;MG;F;52;1,50;adulto;Sudeste
5;1200;GO;M;32;1,50;Jovem adulto;Centro-Oeste
16;10000;RJ;M;38;1,50;Jovem adulto;Sudeste
5;300;BA;M;47;1,50;adulto;Nordeste
12;1580;SE;M;27;1,50;Jovem adulto;Nordeste
15;788;PA;M;49;1,50;adulto;Norte
8;400;RS;F;34;1,50;Jovem adulto;Sul
1;788;PA;M;41;1,50;Jovem adulto;Norte
10;100;AP;F;52;1,50;adulto;Norte
2;500;RS;F;56;1,50;adulto;Sul
12;2000;SP;M;33;1,50;Jovem adulto;Sudeste
13;150;RO;F;47;1,50;adulto;Norte
9;900;PE;F;53;1,50;adulto;Nordeste
16;4500;MS;M;29;1,50;Jovem adulto;Centro-Oeste
12;3000;MS;M;28;1,50;Jovem adulto;Centro-Oeste
1;350;PR;M;69;1,50;idoso;Sul
9;800;DF;M;24;1,50;Jovem adulto;Centro-Oeste
1;1000;PB;M;59;1,50;adulto;Nordeste
6;1000;PE;M;40;1,50;Jovem adulto;Nordeste
13;5000;MG;M;43;1,50;Jovem adulto;Sudeste
12;1500;CE;F;31;1,50;Jovem adulto;Nordeste
12;2350;PR;M;23;1,50;Jovem adulto;Sul
9;788;MG;M;53;1,50;adulto;Sudeste
1;800;PA;M;62;1,50;adulto;Norte
13;1200;AP;M;50;1,50;adulto;Norte
5;15000;SP;M;60;1,50;adulto;Sudeste
16;10300;PA;F;60;1,50;adulto;Norte
12;1560;AP;M;49;1,50;adulto;Norte
5;1500;MG;M;87;1,50;idoso;Sudeste
5;900;SC;M;29;1,50;Jovem adulto;Sul
3;1100;RJ;M;64;1,50;adulto;Sudeste
3;400;BA;F;62;1,50;adulto;Nordeste
9;2000;RS;M;35;1,50;Jovem adulto;Sul
16;10000;BA;F;50;1,50;adulto;Nordeste
12;1700;SP;M;38;1,50;Jovem adulto;Sudeste
10;1576;MG;M;41;1,50;Jovem adulto;Sudeste
1;750;GO;M;57;1,50;adulto;Centro-Oeste
16;10000;RS;F;36;1,50;Jovem adulto;Sul
9;1050;RS;F;55;1,50;adulto;Sul
9;1500;PR;M;56;1,50;adulto;Sul
12;1736;BA;M;37;1,50;Jovem adulto;Nordeste
4;1000;SP;F;70;1,50;idoso;Sudeste
5;2300;DF;M;45;1,50;adulto;Centro-Oeste
12;1000;RN;F;36;1,50;Jovem adulto;Nordeste
5;1500;RO;M;40;1,50;Jovem adulto;Norte
5;1600;AC;M;57;1,50;adulto;Norte
16;1380;RJ;F;40;1,50;Jovem adulto;Sudeste
12;1300;RS;M;39;1,50;Jovem adulto;Sul
15;1900;RS;F;32;1,50;Jovem adulto;Sul
12;2000;MG;M;29;1,50;Jovem adulto;Sudeste
16;7000;PR;M;29;1,50;Jovem adulto;Sul
12;788;BA;F;35;1,50;Jovem adulto;Nordeste
10;850;AP;M;26;1,50;Jovem adulto;Norte
1;1000;CE;F;72;1,50;idoso;Nordeste
5;800;PE;M;39;1,50;Jovem adulto;Nordeste
12;3152;MT;M;53;1,50;adulto;Centro-Oeste
13;1580;GO;F;45;1,50;adulto;Centro-Oeste
9;1000;PE;M;51;1,50;adulto;Nordeste
13;1200;GO;F;62;1,50;adulto;Centro-Oeste
8;1400;SP;M;53;1,50;adulto;Sudeste
16;1100;MG;M;25;1,50;Jovem adulto;Sudeste
12;2000;MG;F;34;1,50;Jovem adulto;Sudeste
12;2000;SC;M;29;1,50;Jovem adulto;Sul
14;4000;CE;M;39;1,50;Jovem adulto;Nordeste
9;7000;DF;M;58;1,50;adulto;Centro-Oeste
9;600;BA;F;38;1,50;Jovem adulto;Nordeste
5;2000;MS;F;34;1,50;Jovem adulto;Centro-Oeste
16;2600;SP;M;23;1,50;Jovem adulto;Sudeste
12;3000;PR;M;22;1,50;Jovem adulto;Sul
12;2500;SP;M;44;1,50;Jovem adulto;Sudeste
7;480;SP;F;55;1,50;adulto;Sudeste
16;2200;AP;M;33;1,50;Jovem adulto;Norte
14;2000;RS;M;48;1,50;adulto;Sul
14;2000;SP;M;32;1,50;Jovem adulto;Sudeste
6;1000;RJ;M;35;1,50;Jovem adulto;Sudeste
5;1500;PR;M;62;1,50;adulto;Sul
6;1150;SP;M;47;1,50;adulto;Sudeste
16;4000;SP;M;33;1,50;Jovem adulto;Sudeste
3;3000;RO;M;77;1,50;idoso;Norte
12;1065;BA;M;31;1,50;Jovem adulto;Nordeste
9;850;PA;M;65;1,50;idoso;Norte
1;788;BA;M;46;1,50;adulto;Nordeste
1;2000;RJ;F;71;1,50;idoso;Sudeste
7;788;TO;M;26;1,50;Jovem adulto;Norte
16;4300;MT;F;49;1,50;adulto;Centro-Oeste
9;300;TO;M;58;1,50;adulto;Norte
6;1600;GO;M;39;1,50;Jovem adulto;Centro-Oeste
16;8000;PE;F;58;1,50;adulto;Nordeste
6;600;BA;M;23;1,50;Jovem adulto;Nordeste
12;1200;MS;M;24;1,50;Jovem adulto;Centro-Oeste
5;500;PA;M;40;1,50;Jovem adulto;Norte
5;1100;MG;M;58;1,50;adulto;Sudeste
5;788;MT;F;49;1,50;adulto;Centro-Oeste
9;1500;RS;F;51;1,50;adulto;Sul
12;1300;MG;F;43;1,50;Jovem adulto;Sudeste
9;788;BA;M;45;1,50;adulto;Nordeste
9;1300;SP;M;48;1,50;adulto;Sudeste
12;500;AP;F;30;1,50;Jovem adulto;Norte
7;1500;AC;M;45;1,50;adulto;Norte
16;20000;RJ;F;53;1,50;adulto;Sudeste
12;1600;SP;M;35;1,50;Jovem adulto;Sudeste
6;1200;AP;M;22;1,50;Jovem adulto;Norte
1;3000;SC;M;48;1,50;adulto;Sul
5;800;MG;M;55;1,50;adulto;Sudeste
5;813;MG;F;46;1,50;adulto;Sudeste
13;1500;RS;M;60;1,50;adulto;Sul
12;1600;SP;F;36;1,50;Jovem adulto;Sudeste
12;788;PA;M;24;1,50;Jovem adulto;Norte
1;788;AL;M;29;1,50;Jovem adulto;Nordeste
12;900;SC;M;44;1,50;Jovem adulto;Sul
12;1500;RJ;M;36;1,50;Jovem adulto;Sudeste
12;1200;AL;M;29;1,50;Jovem adulto;Nordeste
8;788;SE;M;57;1,50;adulto;Nordeste
17;788;ES;F;64;1,50;adulto;Sudeste
1;788;PA;M;51;1,50;adulto;Norte
12;788;MG;F;33;1,50;Jovem adulto;Sudeste
3;1600;MG;F;40;1,50;Jovem adulto;Sudeste
12;1500;SP;F;31;1,50;Jovem adulto;Sudeste
16;8400;SP;M;25;1,50;Jovem adulto;Sudeste
12;800;SP;F;49;1,50;adulto;Sudeste
7;5000;GO;M;37;1,50;Jovem adulto;Centro-Oeste
5;395;ES;M;64;1,50;adulto;Sudeste
1;1800;GO;M;60;1,50;adulto;Centro-Oeste
9;8000;MT;M;49;1,50;adulto;Centro-Oeste
6;1000;RS;M;76;1,50;idoso;Sul
9;700;ES;F;48;1,50;adulto;Sudeste
16;9000;PA;M;51;1,50;adulto;Norte
12;1800;RJ;M;43;1,50;Jovem adulto;Sudeste
5;788;AP;M;64;1,50;adulto;Norte
9;2000;SP;M;27;1,50;Jovem adulto;Sudeste
