TEMPO_ESTUDO;RENDA;UF;GENERO;IDADE;ALTURA;faixa idade;Região
6;70;PE;F;57;1,64;adulto;Nordeste
16;6300;AP;F;41;1,64;Jovem adulto;Norte
2;100;MA;M;55;1,64;adulto;Nordeste
9;1800;MG;M;31;1,64;Jovem adulto;Sudeste
9;1100;RJ;M;25;1,64;Jovem adulto;Sudeste
12;3500;PA;M;44;1,64;Jovem adulto;Norte
12;3000;RS;M;58;1,64;adulto;Sul
16;800;RS;M;35;1,64;Jovem adulto;Sul
12;1100;MT;F;31;1,64;Jovem adulto;Centro-Oeste
11;1014;CE;F;50;1,64;adulto;Nordeste
6;788;RS;M;58;1,64;adulto;Sul
16;4500;SP;F;60;1,64;adulto;Sudeste
12;3000;PB;M;42;1,64;Jovem adulto;Nordeste
1;200;BA;F;41;1,64;Jovem adulto;Nordeste
12;2000;RN;M;59;1,64;adulto;Nordeste
12;788;PE;F;47;1,64;adulto;Nordeste
16;7000;MG;F;47;1,64;adulto;Sudeste
11;800;SP;M;19;1,64;Jovem adulto;Sudeste
12;1250;BA;M;39;1,64;Jovem adulto;Nordeste
12;9000;PR;M;44;1,64;Jovem adulto;Sul
9;1000;PA;M;34;1,64;Jovem adulto;Norte
16;6500;SP;M;34;1,64;Jovem adulto;Sudeste
6;500;RS;F;58;1,64;adulto;Sul
16;28000;DF;M;62;1,64;adulto;Centro-Oeste
12;3000;BA;M;50;1,64;adulto;Nordeste
12;600;MA;F;35;1,64;Jovem adulto;Nordeste
12;1600;RS;F;23;1,64;Jovem adulto;Sul
5;300;MA;F;49;1,64;adulto;Nordeste
16;4000;SP;M;52;1,64;adulto;Sudeste
9;800;PA;M;39;1,64;Jovem adulto;Norte
11;1200;CE;M;24;1,64;Jovem adulto;Nordeste
5;4000;PE;M;56;1,64;adulto;Nordeste
12;6000;PR;F;52;1,64;adulto;Sul
5;1000;SP;F;42;1,64;Jovem adulto;Sudeste
12;1200;SP;F;57;1,64;adulto;Sudeste
9;1000;CE;M;47;1,64;adulto;Nordeste
13;3000;SC;M;48;1,64;adulto;Sul
12;1800;SC;M;31;1,64;Jovem adulto;Sul
11;1200;SP;M;42;1,64;Jovem adulto;Sudeste
12;1700;MS;M;39;1,64;Jovem adulto;Centro-Oeste
12;850;PB;F;29;1,64;Jovem adulto;Nordeste
9;1200;PA;M;47;1,64;adulto;Norte
12;1500;SC;M;41;1,64;Jovem adulto;Sul
9;500;MT;M;53;1,64;adulto;Centro-Oeste
4;1159;GO;M;32;1,64;Jovem adulto;Centro-Oeste
17;850;PR;F;27;1,64;Jovem adulto;Sul
12;1200;CE;F;34;1,64;Jovem adulto;Nordeste
12;180;BA;M;33;1,64;Jovem adulto;Nordeste
12;2300;GO;M;39;1,64;Jovem adulto;Centro-Oeste
12;788;SP;M;38;1,64;Jovem adulto;Sudeste
8;900;RR;M;44;1,64;Jovem adulto;Norte
5;2500;MG;M;63;1,64;adulto;Sudeste
12;3000;BA;M;44;1,64;Jovem adulto;Nordeste
5;3000;GO;M;52;1,64;adulto;Centro-Oeste
12;1000;RJ;F;32;1,64;Jovem adulto;Sudeste
9;1600;RJ;M;40;1,64;Jovem adulto;Sudeste
5;788;MG;M;54;1,64;adulto;Sudeste
15;6000;SP;M;47;1,64;adulto;Sudeste
9;1600;SP;M;57;1,64;adulto;Sudeste
12;1800;MT;M;28;1,64;Jovem adulto;Centro-Oeste
12;3000;SP;M;40;1,64;Jovem adulto;Sudeste
6;790;RJ;F;43;1,64;Jovem adulto;Sudeste
12;2200;ES;M;50;1,64;adulto;Sudeste
12;780;RS;M;36;1,64;Jovem adulto;Sul
1;788;SE;M;44;1,64;Jovem adulto;Nordeste
6;2000;SC;M;58;1,64;adulto;Sul
12;900;PA;M;43;1,64;Jovem adulto;Norte
9;850;SE;F;37;1,64;Jovem adulto;Nordeste
16;2000;RS;M;29;1,64;Jovem adulto;Sul
12;1000;MG;M;28;1,64;Jovem adulto;Sudeste
12;1000;BA;M;43;1,64;Jovem adulto;Nordeste
6;788;MG;F;29;1,64;Jovem adulto;Sudeste
9;788;PR;F;55;1,64;adulto;Sul
