Estudo,Renda,UF,Genero,Idade,Altura
12,700.0,SP,F,36,1.9
8,788.0,RJ,F,48,1.9
5,3000.0,AP,M,47,1.9
5,1500.0,ES,M,41,1.9
9,400.0,PR,F,47,1.9
16,3500.0,MG,M,43,1.9
1,1200.0,PA,M,39,1.9
4,600.0,PR,F,51,1.9
12,800.0,CE,F,49,1.9
1,4000.0,RJ,M,50,1.9
13,700.0,MG,F,49,1.9
9,2800.0,SP,M,53,1.9
1,788.0,PE,M,55,1.9
13,1200.0,SP,M,46,1.9
6,1200.0,RS,F,56,1.9
15,5500.0,RJ,M,44,1.9
12,1000.0,SP,M,23,1.9
12,150.0,PI,F,25,1.9
7,1200.0,AP,M,38,1.9
16,1000.0,MG,F,48,1.9
6,1400.0,RS,M,56,1.9
12,1500.0,RN,M,32,1.9
9,400.0,RJ,F,64,1.9
16,2000.0,DF,F,36,1.9
1,788.0,BA,M,39,1.9
6,1000.0,ES,M,39,1.9
12,1500.0,PE,F,40,1.9
12,1350.0,RJ,F,40,1.9
16,950.0,RS,F,44,1.9
9,600.0,AP,F,45,1.9
5,150.0,CE,M,36,1.9
12,500.0,PR,F,45,1.9
1,1500.0,AC,M,45,1.9
12,550.0,RJ,F,57,1.9
9,600.0,RJ,F,27,1.9
12,2170.0,ES,M,64,1.9
9,1100.0,SP,F,56,1.9
2,300.0,RN,M,33,1.9
9,1600.0,MG,M,44,1.9
16,1500.0,MT,M,38,1.9
16,5000.0,SC,M,50,1.9
5,500.0,MT,M,52,1.9
16,2500.0,BA,F,30,1.9
5,788.0,AP,M,35,1.9
7,2000.0,RN,M,53,1.9
9,800.0,BA,M,60,1.9
15,3000.0,RR,M,28,1.9
13,1200.0,DF,F,25,1.9
1,2000.0,BA,M,50,1.9
7,1500.0,ES,M,27,1.9
7,1800.0,RS,F,43,1.9
16,2500.0,RS,M,46,1.9
12,5000.0,GO,M,59,1.9
1,900.0,AC,M,59,1.9
6,4000.0,RS,M,49,1.9
13,788.0,PB,F,32,1.9
16,4000.0,SC,M,47,1.9
16,10000.0,BA,M,65,1.9
11,900.0,PA,M,34,1.9
9,1200.0,SP,F,22,1.9
12,2300.0,BA,M,52,1.9
2,1600.0,MG,M,74,1.9
2,1500.0,PR,M,59,1.9
4,350.0,RJ,M,61,1.9
9,700.0,PA,M,43,1.9
11,800.0,SP,M,51,1.9
12,1800.0,SP,M,45,1.9
12,1200.0,PA,M,43,1.9
4,1000.0,SP,M,47,1.9
11,5000.0,PR,M,60,1.9
12,1600.0,PR,M,35,1.9
16,2500.0,CE,M,54,1.9
12,810.0,AP,M,20,1.9
12,875.0,RJ,F,28,1.9
12,950.0,PE,M,43,1.9
14,1800.0,SP,M,50,1.9
5,788.0,MG,F,58,1.9
5,900.0,SP,F,47,1.9
12,2550.0,MG,M,35,1.9
6,60.0,MA,F,34,1.9
16,9000.0,CE,M,66,1.9
12,788.0,SC,M,30,1.9
12,4000.0,PR,F,64,1.9
16,2000.0,SP,M,46,1.9
4,600.0,BA,M,31,1.9
1,600.0,SE,M,52,1.9
12,1500.0,SP,M,49,1.9
13,2000.0,PE,F,43,1.9
12,1500.0,RS,F,34,1.9
12,700.0,BA,M,36,1.9
1,800.0,MT,M,68,1.9
4,750.0,PA,M,37,1.9
7,1300.0,RS,M,32,1.9
5,1000.0,PE,M,33,1.9
7,1150.0,RS,M,32,1.9
7,1500.0,SP,M,37,1.9
15,1900.0,SP,F,50,1.9
12,1600.0,MS,M,28,1.9
1,600.0,SE,M,43,1.9
10,1080.0,SE,M,45,1.9
14,1500.0,CE,M,49,1.9
8,3000.0,RS,M,60,1.9
12,300.0,PE,F,55,1.89
12,500.0,SE,F,63,1.89
9,3500.0,RJ,M,53,1.89
8,1000.0,MA,F,33,1.89
5,3000.0,MA,M,73,1.89
5,750.0,MG,M,49,1.89
12,800.0,BA,M,28,1.89
12,3000.0,MS,F,31,1.89
16,4500.0,BA,F,36,1.89
8,945.0,MG,F,47,1.89
12,2000.0,BA,F,48,1.89
16,5000.0,SP,M,31,1.89
9,1400.0,SP,M,35,1.89
11,1600.0,SC,M,53,1.89
6,1000.0,SP,F,40,1.89
1,1100.0,BA,M,30,1.89
12,1500.0,RJ,F,30,1.89
1,1100.0,CE,M,46,1.89
12,1200.0,SP,M,51,1.89
12,2700.0,PR,M,28,1.89
14,3000.0,PE,M,42,1.89
12,2100.0,RJ,M,47,1.89
9,1400.0,GO,M,57,1.89
15,2200.0,BA,M,40,1.89
13,1000.0,MG,F,42,1.89
16,1600.0,AC,F,47,1.89
9,300.0,MT,F,29,1.89
9,1500.0,GO,M,47,1.89
12,2500.0,MG,M,39,1.89
16,5000.0,MG,M,41,1.89
14,2400.0,CE,M,52,1.89
12,1400.0,GO,M,34,1.89
5,1070.0,RJ,M,61,1.89
1,1500.0,GO,M,66,1.89
15,4000.0,BA,F,54,1.89
16,3000.0,TO,M,41,1.89
12,2500.0,RJ,M,36,1.89
12,900.0,SE,F,24,1.89
5,2000.0,RO,M,59,1.89
12,1100.0,PE,M,48,1.89
12,788.0,MG,M,23,1.89
12,2100.0,SP,M,42,1.89
12,2300.0,ES,M,39,1.89
4,100.0,GO,F,54,1.89
5,1100.0,RS,M,51,1.89
12,1500.0,TO,M,49,1.89
1,400.0,BA,M,34,1.89
5,900.0,CE,F,50,1.89
17,250.0,AP,M,44,1.89
12,3000.0,MT,M,51,1.89
1,1000.0,MT,M,36,1.89
12,1000.0,AL,M,49,1.89
5,2100.0,SP,M,53,1.89
12,788.0,PA,M,30,1.89
16,2300.0,AL,F,39,1.89
16,30000.0,MT,M,38,1.89
12,2700.0,SP,M,63,1.89
9,950.0,RS,F,55,1.89
6,1800.0,BA,M,38,1.89
6,1100.0,AL,F,66,1.89
11,900.0,RJ,F,48,1.89
4,1183.0,PA,M,50,1.89
1,3000.0,MT,M,38,1.89
12,3000.0,BA,M,60,1.89
12,1000.0,PR,F,26,1.89
10,1200.0,BA,M,74,1.89
16,2800.0,SP,M,64,1.89
12,788.0,CE,M,31,1.89
12,788.0,PE,M,47,1.89
1,600.0,RO,M,33,1.89
5,788.0,BA,F,38,1.89
16,2500.0,GO,M,29,1.89
12,830.0,TO,F,44,1.89
16,15648.0,RJ,F,69,1.89
9,788.0,RN,F,46,1.89
16,3500.0,RJ,F,45,1.89
1,1000.0,BA,M,52,1.89
9,300.0,RS,F,65,1.89
12,800.0,GO,F,37,1.89
12,2500.0,MG,M,33,1.89
12,1780.0,RS,M,45,1.89
3,788.0,SC,M,74,1.89
9,4200.0,MG,F,40,1.89
9,1800.0,PR,M,48,1.89
4,150.0,PI,M,43,1.89
5,1000.0,PE,F,34,1.89
12,788.0,SP,F,39,1.89
12,828.0,CE,M,25,1.89
16,40000.0,PE,M,63,1.89
12,250.0,SE,F,27,1.89
8,2000.0,MS,F,39,1.89
9,1500.0,RS,M,46,1.89
7,1200.0,ES,M,32,1.89
9,2200.0,MA,M,59,1.89
12,4000.0,SC,M,46,1.89
16,1600.0,SP,F,26,1.89
12,1500.0,PR,M,58,1.89
6,1200.0,DF,M,62,1.89
1,2700.0,RJ,M,57,1.89
12,860.0,PB,M,22,1.89
16,788.0,PA,F,30,1.89
7,788.0,MG,F,60,1.89
6,90.0,MA,F,26,1.89
16,3000.0,SP,M,29,1.89
12,788.0,MG,M,65,1.89
12,900.0,ES,F,57,1.89
16,10000.0,DF,M,48,1.89
5,788.0,RS,M,59,1.89
9,700.0,AC,F,25,1.89
12,1100.0,AP,F,42,1.89
12,1300.0,MS,M,38,1.89
17,50.0,MA,M,51,1.89
16,8000.0,MG,M,42,1.89
11,1100.0,RJ,F,45,1.89
12,2100.0,SC,M,53,1.89
15,788.0,SP,F,30,1.89
2,1500.0,AP,M,40,1.89
12,10000.0,RJ,M,59,1.89
12,1350.0,MG,M,36,1.89
16,2300.0,PE,F,22,1.89
5,150.0,CE,F,42,1.89
12,850.0,PA,M,37,1.89
16,2000.0,AC,F,42,1.89
5,700.0,PE,M,56,1.89
12,1100.0,RS,M,44,1.89
3,750.0,PA,M,56,1.89
5,1050.0,RJ,M,51,1.89
9,788.0,SP,M,32,1.89
12,2000.0,PA,M,40,1.89
9,10000.0,AP,M,36,1.89
10,1900.0,SP,M,45,1.89
12,2000.0,PR,F,25,1.89
14,2000.0,CE,F,57,1.89
9,1000.0,BA,M,64,1.89
9,1800.0,MG,M,53,1.89
17,878.0,MS,M,22,1.89
12,200.0,MG,M,31,1.89
12,1200.0,DF,F,65,1.89
13,2890.0,PR,M,65,1.89
5,100.0,PA,M,42,1.89
3,1000.0,SC,M,64,1.89
12,800.0,PR,F,52,1.89
9,380.0,RO,F,55,1.89
6,800.0,TO,M,21,1.89
4,1200.0,MG,M,51,1.89
13,1600.0,PR,F,44,1.89
